source,imageId,blogSlug,blogOrder,blogCover,blogTitle,blogCouple,blogVenue,blogWeddingDate,blogExcerpt,venue,category,filename,aiTags,aiAlt,aiCaption,aiReviewed,aiTextReviewed,aiModel,aiUpdatedAt,aiRating,aiEmotion,aiStoryMoment,aiLighting,aiWeather,aiColours,aiPeople
gallery,MKB000011,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--10_500.webp,ballyliffen|couple portraits|beach wedding|coastal portraits|bride and groom|overcast sky|romantic mood|windswept|donegal wedding|seaside|wedding dress|groom suit,"Windswept couple portraits on the coast at Ballyliffen, County Donegal, with the bride and groom under an overcast sky","A relaxed coastal portrait at Ballyliffen in County Donegal, with soft overcast light and a windswept seaside feel.",,,gpt-5.5,2026-07-05T08:30:32.005Z,,,,,,,
gallery,MKB000012,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--11_500.webp,beach portrait|bride and groom|couple portraits|ocean backdrop|rocky shoreline|overcast light|romantic|intimate|wedding kiss|coastal wedding|donegal wedding|ballyliffen,"Bride and groom sharing a kiss on the rocky shoreline at Ballyliffen, with the ocean behind them in soft overcast light.","A quiet coastal portrait at Ballyliffen in County Donegal, with the couple framed by the rocky shore, calm sea and soft natural light.",,,gpt-5.5,2026-07-05T08:30:57.603Z,,,,,,,
gallery,MKB000013,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--12_500.webp,couple portraits|bride and groom|beach wedding|ballyliffen|coastal portraits|overcast sky|flash lighting|romantic|joyful|wedding day|winter wedding|donegal wedding,"Bride and groom on the beach in Ballyliffen, County Donegal, with soft flash lighting under an overcast winter sky","A relaxed coastal portrait in Ballyliffen, with the couple enjoying a quiet moment on the beach beneath soft Donegal winter skies.",,,gpt-5.5,2026-07-05T08:31:23.203Z,,,,,,,
gallery,MKB000014,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--13_500.webp,ballyliffen|beach portraits|bride and groom|couple portraits|coastal wedding|overcast sky|soft light|romantic|windswept|wedding dress|black tie|newlyweds,"Newlyweds in black tie and wedding dress during windswept beach portraits near Ballyliffen, County Donegal","A relaxed coastal couple portrait near Ballyliffen, with soft overcast light and the Donegal breeze adding a natural feel.",,,gpt-5.5,2026-07-05T08:31:49.547Z,,,,,,,
gallery,MKB000015,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--14_500.webp,ballyliffen|couple portraits|bride and groom|beach wedding|coastal portraits|wedding car|overcast light|romantic|windswept|donegal wedding|newlyweds|shoreline,"Bride and groom beside their wedding car on the windswept shoreline at Ballyliffen, County Donegal","A relaxed coastal portrait in Ballyliffen, with the newlyweds taking in the soft overcast light along the Donegal shoreline.",,,gpt-5.5,2026-07-05T08:32:16.688Z,,,,,,,
gallery,MKB000016,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--15_500.webp,couple portrait|bride and groom|beach wedding|coastal portrait|ballyliffen|donegal wedding|overcast light|romantic|elegant|wedding dress|black tie|seaside,"Bride and groom in black tie for a coastal portrait on the beach at Ballyliffen, County Donegal, in soft overcast light","A relaxed Ballyliffen couple portrait on the Donegal coast, with soft overcast light and the seaside bringing a calm, natural feel.",,,gpt-5.5,2026-07-05T08:32:42.767Z,,,,,,,
gallery,MKB000017,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--16_500.webp,ballyliffen|couple portraits|wedding car|newlyweds|kiss|romantic|silhouette|warm light|intimate moment|car ribbon|bride and groom|donegal wedding,"Bride and groom sharing a warm silhouette kiss beside their ribboned wedding car in Ballyliffen, County Donegal","A quiet couple portrait in Ballyliffen, with warm evening light, a ribboned wedding car and a relaxed kiss between the bride and groom.",,,gpt-5.5,2026-07-05T08:33:08.505Z,,,,,,,
gallery,MKB000018,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--19_500.webp,ballyliffen|couple portraits|bride and groom|indoor portrait|christmas decor|doorway portrait|soft lighting|romantic|elegant|wedding dress|black tie|newlyweds,"Bride and groom in a softly lit doorway with Christmas decor at Ballyliffen, County Donegal","A relaxed indoor couple portrait at Ballyliffen in Inishowen, with soft light, black tie style and subtle Christmas decor.",,,gpt-5.5,2026-07-05T08:33:35.171Z,,,,,,,
gallery,MKB000019,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--21_500.webp,ballyliffen|bridal portrait|bride|staircase|wedding dress|bridal bouquet|chandelier|indoor|dramatic lighting|elegant|romantic|couple portraits,"Bride on a staircase at Ballyliffen, holding her bouquet beneath a chandelier in soft dramatic light","A quiet bridal portrait at Ballyliffen in County Donegal, with soft indoor light, elegant stairs and a relaxed documentary feel.",,,gpt-5.5,2026-07-05T08:34:01.823Z,,,,,,,
gallery,MKB000020,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--22_500.webp,ballyliffen|bride portrait|wedding dress|bridal bouquet|indoor portrait|staircase|soft lighting|joyful|elegant|romantic|bridal moment|donegal wedding,"Bride holding her bouquet on an indoor staircase at Ballyliffen, County Donegal, in soft natural light","A relaxed bridal portrait on the staircase at Ballyliffen, with soft light and a joyful pause in the day.",,,gpt-5.5,2026-07-05T08:34:28.043Z,,,,,,,
gallery,MKB000021,,,,,,,,,Ballyliffen,couple portraits,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--31_500.webp,ballyliffen|couple portrait|bride and groom|wedding embrace|indoor portrait|fairy lights|warm lighting|romantic mood|evening portrait|wedding dress|groom suit|intimate moment,"Bride and groom share a quiet indoor embrace under warm fairy lights at Ballyliffen, County Donegal","A relaxed evening couple portrait at Ballyliffen, with warm light and fairy lights adding to the intimate atmosphere.",,,gpt-5.5,2026-07-05T08:51:15.964Z,,,,,,,
gallery,MKB000022,,,,,,,,,Ballyliffen,details and decor,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--17_500.webp,wedding reception|reception decor|ballyliffen wedding|floral garland|top table|banquet room|round tables|elegant decor|soft indoor light|romantic mood|table settings|wedding details,Top table with floral garland and soft reception decor at a Ballyliffen wedding in County Donegal,"Soft indoor light, floral garlands and elegant table settings brought a relaxed warmth to this Ballyliffen reception in Inishowen.",,,gpt-5.5,2026-07-05T08:51:42.397Z,,,,,,,
gallery,MKB000023,,,,,,,,,Ballyliffen,details and decor,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--1_500.webp,wedding dress|bridal details|dress hanging|staircase|window light|backlit|elegant decor|romantic mood|wedding morning|ballyliffen|donegal wedding,"Wedding dress hanging by a staircase in soft window light at Ballyliffen, County Donegal","A quiet wedding morning detail in Ballyliffen, with the dress hanging in soft window light beside the staircase.",,,gpt-5.5,2026-07-05T08:52:08.317Z,,,,,,,
gallery,MKB000024,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--18_500.webp,ballyliffen wedding|family portrait|groom|grandmother|wedding hug|indoor reception|christmas decor|warm lighting|joyful moment|candid portrait|bridal party|donegal wedding,Groom sharing a warm hug with his grandmother during an indoor Ballyliffen wedding reception in County Donegal,"A joyful family moment at Ballyliffen in County Donegal, with warm reception light and Christmas decor adding to the relaxed atmosphere.",,,gpt-5.5,2026-07-05T08:52:35.136Z,,,,,,,
gallery,MKB000025,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--20_500.webp,family portrait|bride and groom|parents|bridal party|indoor wedding|formal portrait|soft flash|happy mood|wedding reception|ballyliffen wedding|classic style|donegal wedding,"Bride and groom with parents and bridal party during an indoor wedding portrait at Ballyliffen, County Donegal","A relaxed family and bridal party portrait at Ballyliffen, with soft flash and plenty of warmth during the wedding reception.",,,gpt-5.5,2026-07-05T08:53:01.249Z,,,,,,,
gallery,MKB000026,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--23_500.webp,ballyliffen wedding|bridal party|bride and groom|family portraits|indoor wedding|christmas decor|formal portrait|moody lighting|elegant|festive|wedding reception|donegal wedding,"Bride and groom with family and bridal party indoors at Ballyliffen, with festive decor and moody reception light","A relaxed indoor family and bridal party portrait at Ballyliffen in County Donegal, framed by warm festive decor and soft, moody light.",,,gpt-5.5,2026-07-05T08:53:28.148Z,,,,,,,
gallery,MKB000027,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--24_500.webp,ballyliffen wedding|bridal party|bride and groom|group portrait|indoor portrait|christmas decor|formalwear|soft lighting|elegant mood|wedding reception|family photos|donegal wedding,"Wedding party and family gathered for an indoor portrait at Ballyliffen, County Donegal, with soft light and Christmas décor.","A relaxed family and bridal party portrait at Ballyliffen in County Donegal, framed by soft indoor light and subtle Christmas décor.",,,gpt-5.5,2026-07-05T08:53:55.244Z,,,,,,,
gallery,MKB000028,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--7_500.webp,ballyliffen wedding|bride|bridesmaids|bridal party|outdoor portraits|bouquets|white wraps|overcast light|winter wedding|joyful|wedding morning|donegal wedding,Bride and bridesmaids with bouquets and white wraps during outdoor winter portraits at Ballyliffen in County Donegal,"Soft overcast light and a relaxed bridal party moment at Ballyliffen, with winter wraps, bouquets and plenty of easy joy.",,,gpt-5.5,2026-07-05T08:54:21.633Z,,,,,,,
gallery,MKB000029,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--8_500.webp,ballyliffen wedding|bride|bridesmaids|bridal party|bouquets|stone wall|outdoor portraits|soft natural light|elegant|joyful|wedding party|emerald dresses,Bride and bridesmaids in emerald dresses holding bouquets by a stone wall at Ballyliffen in County Donegal,"A relaxed bridal party portrait at Ballyliffen, with emerald dresses, bouquets and soft Donegal light by the stone wall.",,,gpt-5.5,2026-07-05T08:54:48.667Z,,,,,,,
gallery,MKB000030,,,,,,,,,Ballyliffen,family and bridal party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--9_500.webp,ballyliffen|bridal party|family portraits|church exterior|bride and groom|outdoor wedding|natural light|candid moment|wedding party|joyful|dress moment|donegal wedding,"Bride, groom and bridal party sharing a candid moment outside a church in Ballyliffen, County Donegal","A relaxed bridal party moment in natural light outside the church at Ballyliffen, with family close by and plenty of easy joy.",,,gpt-5.5,2026-07-05T08:55:15.000Z,,,,,,,
gallery,MKB000031,,,,,,,,,Ballyliffen,getting ready,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--2_500.webp,getting ready|bride prep|bridal makeup|lipstick|makeup artist|soft light|close up|calm mood|wedding morning|beauty details|ballyliffen|donegal wedding,Bride having lipstick applied during calm wedding morning prep at Ballyliffen in County Donegal,"Soft light and quiet beauty details during bridal prep at Ballyliffen, captured in a relaxed documentary style.",,,gpt-5.5,2026-07-05T08:55:41.199Z,,,,,,,
gallery,MKB000032,,,,,,,,,Ballyliffen,getting ready,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--3_500.webp,ballyliffen wedding|getting ready|bride|bridal robe|mirror portrait|bridal prep|soft window light|happy bride|morning preparations|wedding makeup|elegant details|donegal wedding,Bride in a robe smiling by the mirror during morning preparations at Ballyliffen in County Donegal,"Soft window light and a quiet smile during bridal prep in Ballyliffen, County Donegal, captured in a relaxed documentary style.",,,gpt-5.5,2026-07-05T08:56:06.959Z,,,,,,,
gallery,MKB000033,,,,,,,,,Ballyliffen,getting ready,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--4_500.webp,getting ready|bride|mirror portrait|black and white|bridal robe|soft lighting|morning prep|candid moment|wedding morning|intimate mood|indoor scene|ballyliffen,"Black and white mirror portrait of a bride in a robe during morning prep at Ballyliffen, County Donegal","A quiet black and white getting ready moment in Ballyliffen, with soft light and a relaxed wedding morning atmosphere.",,,gpt-5.5,2026-07-05T08:56:33.442Z,,,,,,,
gallery,MKB000034,,,,,,,,,Ballyliffen,getting ready,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--5_500.webp,ballyliffen|getting ready|bride|bridesmaids|bridal party|champagne toast|morning preparations|window light|joyful|robes|candid|wedding morning,"Bride and bridesmaids in robes sharing a champagne toast during wedding morning preparations at Ballyliffen, County Donegal",A relaxed champagne toast in soft window light as the bridal party gets ready at Ballyliffen in Inishowen.,,,gpt-5.5,2026-07-05T08:57:00.481Z,,,,,,,
gallery,MKB000035,,,,,,,,,Ballyliffen,getting ready,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--6_500.webp,ballyliffen wedding|getting ready|groom prep|bow tie|mirror reflection|black tuxedo|hotel room|natural light|candid moment|happy groom|wedding morning|donegal wedding,"Groom adjusting his bow tie in a mirror during wedding morning prep at Ballyliffen, County Donegal","A relaxed groom prep moment in Ballyliffen, with natural light and a mirror reflection capturing the calm of the wedding morning.",,,gpt-5.5,2026-07-05T08:57:26.627Z,,,,,,,
gallery,MKB000036,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--25_500.webp,ballyliffen wedding|reception entrance|bride and groom|wedding party|fairy lights|white draping|joyful moment|evening reception|grand entrance|celebration|indoor wedding|donegal wedding,Bride and groom making a joyful reception entrance under fairy lights and white draping at Ballyliffen in County Donegal,"A relaxed evening reception entrance at Ballyliffen, with the wedding party cheering beneath soft fairy lights and white draping.",,,gpt-5.5,2026-07-05T08:57:52.993Z,,,,,,,
gallery,MKB000037,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--26_500.webp,ballyliffen|reception|wedding party|bride and groom|first dance|dance floor|guests cheering|napkin wave|indoor reception|warm lighting|candid|joyful,Bride and groom on the dance floor at Ballyliffen as guests cheer and wave napkins during the reception,"A joyful first dance at Ballyliffen in County Donegal, with warm indoor light and guests cheering around the dance floor.",,,gpt-5.5,2026-07-05T08:58:18.152Z,,,,,,,
gallery,MKB000038,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--27_500.webp,reception|party|bride and groom|dance floor|grand entrance|black and white|indoor lighting|joyful|celebration|wedding guests|evening reception|ballyliffen,Black and white photo of a couple making their grand entrance to the Ballyliffen reception dance floor in County Donegal,"A joyful evening reception moment in Ballyliffen, with guests gathered around the dance floor as the couple step into the party.",,,gpt-5.5,2026-07-05T08:58:44.883Z,,,,,,,
gallery,MKB000039,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--28_500.webp,wedding reception|top table|groom speech|wedding toast|bride and groom|bridal party|indoor reception|warm lighting|celebration|candid moment|ballyliffen wedding|donegal wedding,"Groom giving a speech at a warm indoor wedding reception in Ballyliffen, with the top table and bridal party listening",A relaxed reception moment in Ballyliffen as the groom’s speech brings everyone together around the top table.,,,gpt-5.5,2026-07-05T08:59:11.225Z,,,,,,,
gallery,MKB000040,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--29_500.webp,ballyliffen wedding|reception party|bride and groom|sparkler exit|night celebration|wedding guests|dramatic lighting|joyful moment|evening wedding|party atmosphere,Bride and groom enjoying a sparkler exit with guests at Ballyliffen in County Donegal,"A joyful night-time sparkler exit at Ballyliffen, with guests gathered close and warm documentary energy across the evening celebration.",,,gpt-5.5,2026-07-05T08:59:36.591Z,,,,,,,
gallery,MKB000041,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--30_500.webp,ballyliffen|wedding reception|sparkler exit|bride|groom|guests|night portrait|black and white|celebration|romantic mood|party|candid moment,"Black and white sparkler exit at a Ballyliffen wedding reception, with the couple surrounded by cheering guests at night","A relaxed sparkler exit in Ballyliffen, County Donegal, captured in black and white as guests gather around the couple after dark.",,,gpt-5.5,2026-07-05T09:01:44.137Z,,,,,,,
gallery,MKB000042,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--32_500.webp,ballyliffen wedding|reception party|wedding guests|dance floor|evening reception|celebration|candid moments|party atmosphere|indoor reception|flash lighting|joyful guests|donegal wedding,"Wedding guests dancing at the evening reception in Ballyliffen, County Donegal, with a lively flash-lit party atmosphere","A relaxed flash-lit moment from the Ballyliffen evening reception, with guests filling the dance floor and keeping the celebration moving.",,,gpt-5.5,2026-07-05T09:02:10.397Z,,,,,,,
gallery,MKB000043,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--33_500.webp,reception|wedding party|bride and groom|grand entrance|dance floor|guests clapping|indoor reception|spotlight|celebration|joyful|ballyliffen wedding|party atmosphere,Bride and groom make their grand entrance to the Ballyliffen reception as guests clap around the dance floor,"A joyful reception entrance in Ballyliffen, with guests gathered around the dance floor and the room full of warm party energy.",,,gpt-5.5,2026-07-05T09:07:44.947Z,,,,,,,
gallery,MKB000044,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--34_500.webp,ballyliffen|wedding reception|first dance|bride and groom|dance floor|wedding guests|evening party|indoor lighting|romantic moment|celebration|candid reactions|donegal wedding,"Couple share their first dance at a Ballyliffen wedding reception in County Donegal, surrounded by guests and warm indoor light","A relaxed first dance at Ballyliffen in Inishowen, with guests gathered close and the evening party starting to build.",,,gpt-5.5,2026-07-05T09:08:13.098Z,,,,,,,
gallery,MKB000045,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--35_500.webp,reception|first dance|bride and groom|wedding guests|dance floor|indoor wedding|chandelier|black and white|dramatic lighting|romantic|celebration|ballyliffen,"Black and white first dance at Ballyliffen, with guests gathered around the dance floor under chandelier light.","A relaxed first dance moment at Ballyliffen in County Donegal, surrounded by guests and soft indoor light.",,,gpt-5.5,2026-07-05T09:11:45.050Z,,,,,,,
gallery,MKB000046,,,,,,,,,Ballyliffen,reception and party,mkb-weddings-ballyliffen-lodge-hotel-donegal-wedding-photographer--36_500.webp,ballyliffen wedding|reception party|dance floor|bride dancing|groom dancing|wedding guests|evening reception|flash lighting|celebration|joyful mood|party moment|donegal wedding,Bride and groom dancing with guests at a lively Ballyliffen wedding reception in County Donegal,"A joyful dance floor moment from an evening wedding reception in Ballyliffen, County Donegal, captured with relaxed flash-lit energy.",,,gpt-5.5,2026-07-05T09:12:10.793Z,,,,,,,
gallery,MKB000047,,,,,,,,,Ballyscullion park,ceremony,mkb-weddings-irish-wedding-photographer-ballyscullion-park-bellaghy-photography-263_500.webp,ballyscullion park|wedding ceremony|bride and groom|outdoor ceremony|marquee wedding|wedding guests|daylight|joyful moment|ceremony vows|bridal bouquet|candid wedding|irish wedding,Bride and groom share a joyful moment during their outdoor ceremony at Ballyscullion Park in County Londonderry,"A relaxed outdoor ceremony at Ballyscullion Park, with guests gathered in daylight as the couple share a joyful moment.",,,gpt-5.5,2026-07-05T09:13:06.635Z,,,,,,,
gallery,MKB000048,,,,,,,,,Ballyscullion park,ceremony,mkb-weddings-irish-wedding-photographer-ballyscullion-park-bellaghy-photography-338_500.webp,ballyscullion park|ceremony|first kiss|bride and groom|wedding guests|outdoor ceremony|marquee wedding|natural light|romantic|joyful|irish wedding|aisle moment,"Bride and groom share a first kiss during an outdoor ceremony at Ballyscullion Park in Belaghy, surrounded by wedding guests","A joyful aisle moment at Ballyscullion Park, with guests gathered in natural light for a relaxed outdoor ceremony in County Londonderry.",,,gpt-5.5,2026-07-05T09:13:33.094Z,,,,,,,
gallery,MKB000049,,,,,,,,,Ballyscullion park,ceremony,MKB-weddings-mkb-photography-northern-ireland-wedding-photographer-ballyscullion-park-belaghy-wedding-photography11_500.webp,ballyscullion park|outdoor ceremony|woodland wedding|bride and groom|wedding vows|guest seating|natural light|romantic moment|intimate ceremony|wedding veil|ceremony aisle|northern ireland wedding,"Outdoor wedding vows at Ballyscullion Park in Belaghy, with the couple beneath the trees and guests seated along the aisle","A quiet outdoor ceremony at Ballyscullion Park, Belaghy, with natural light, close family and friends, and a relaxed woodland feel.",,,gpt-5.5,2026-07-05T09:13:58.373Z,,,,,,,
gallery,MKB000050,,,,,,,,,Ballyscullion park,ceremony,MKB-weddings-mkb-photography-northern-ireland-wedding-photographer-ballyscullion-park-belaghy-wedding-photography12_500.webp,ballyscullion park|outdoor ceremony|woodland wedding|bride entrance|walking down aisle|bride and father|wedding guests|natural light|emotional moment|ceremony aisle|northern ireland wedding|romantic mood,"Bride walking down the outdoor aisle with her father at Ballyscullion Park, Belaghy, as guests look on in natural light","A quiet, emotional entrance at Ballyscullion Park in Belaghy, with guests gathered outdoors and the ceremony unfolding in soft natural light.",,,gpt-5.5,2026-07-05T09:14:23.922Z,,,,,,,
